Client Name,Product ID,Product Description,Date,Analysis,Result
CLIENT_E,SWAB,Pack B,3/4/19,APCPFSWCMMEF,4000
CLIENT_E,SWAB,Pack C,3/4/19,APCPFSWCMMEF,800
CLIENT_E,SWAB,Pack D,3/4/19,APCPFSWCMMEF,760
CLIENT_E,SWAB,Pack E,3/4/19,APCPFSWCMMEF,910
CLIENT_E,SWAB,Pack A,2/14/19,APCPFSWCMMEF,720
CLIENT_E,SWAB,Pack B,2/14/19,APCPFSWCMMEF,3000
CLIENT_E,SWAB,Pack C,2/14/19,APCPFSWCMMEF,300
CLIENT_E,SWAB,Pack D,2/14/19,APCPFSWCMMEF,240
CLIENT_E,SWAB,Pack E,2/14/19,APCPFSWCMMEF,<10
CLIENT_E,SWAB,Pack A,2/10/19,APCPFSWCMMEF,30
CLIENT_E,SWAB,Pack B,2/10/19,APCPFSWCMMEF,200
CLIENT_E,SWAB,Pack C,2/10/19,APCPFSWCMMEF,220
CLIENT_E,SWAB,Pack D,2/10/19,APCPFSWCMMEF,500
CLIENT_E,SWAB,Pack E,2/10/19,APCPFSWCMMEF,110
CLIENT_E,SWAB,Pack A,2/5/19,APCPFSWCMMEF,9900
CLIENT_E,SWAB,Pack B,2/5/19,APCPFSWCMMEF,1000
CLIENT_E,SWAB,Pack C,2/5/19,APCPFSWCMMEF,2000
CLIENT_E,SWAB,Pack D,2/5/19,APCPFSWCMMEF,500
CLIENT_E,SWAB,Pack E,2/5/19,APCPFSWCMMEF,490
CLIENT_E,SWAB,Pack A,2/1/19,APCPFSWCMMEF,200
CLIENT_E,SWAB,Pack B,2/1/19,APCPFSWCMMEF,560
CLIENT_E,SWAB,Pack C,2/1/19,APCPFSWCMMEF,780
CLIENT_E,SWAB,Pack D,2/1/19,APCPFSWCMMEF,900
CLIENT_E,SWAB,Pack E,2/1/19,APCPFSWCMMEF,1000
